0,1
9606.ensp00000275493,0
9606.ensp00000433642,1
9606.ensp00000438615,2
9606.ensp00000363773,3
9606.ensp00000313967,4
9606.ensp00000363770,5
9606.ensp00000356946,6
9606.ensp00000385035,7
9606.ensp00000358165,8
9606.ensp00000271450,9
9606.ensp00000351497,10
9606.ensp00000359663,11
9606.ensp00000308938,12
9606.ensp00000339328,13
9606.ensp00000361850,14
9606.ensp00000220809,15
9606.ensp00000223095,16
9606.ensp00000364709,17
9606.ensp00000218099,18
9606.ensp00000261405,19
9606.ensp00000320866,20
9606.ensp00000247461,21
9606.ensp00000243077,22
9606.ensp00000245907,23
9606.ensp00000223642,24
9606.ensp00000303830,25
9606.ensp00000268035,26
9606.ensp00000306361,27
9606.ensp00000364731,28
9606.ensp00000233838,29
9606.ensp00000334145,30
9606.ensp00000410294,31
9606.ensp00000393312,32
9606.ensp00000339824,33
9606.ensp00000452786,34
9606.ensp00000353393,35
9606.ensp00000356771,36
9606.ensp00000308541,37
9606.ensp00000264613,38
9606.ensp00000265986,39
9606.ensp00000236671,40
9606.ensp00000269571,41
9606.ensp00000433277,42
9606.ensp00000419425,43
9606.ensp00000349252,44
9606.ensp00000384957,45
9606.ensp00000380227,46
9606.ensp00000478570,47
9606.ensp00000234111,48
9606.ensp00000399415,49
9606.ensp00000378408,50
9606.ensp00000302620,51
9606.ensp00000403644,52
9606.ensp00000355536,53
9606.ensp00000365777,54
9606.ensp00000236959,55
9606.ensp00000354511,56
9606.ensp00000320171,57
9606.ensp00000465734,58
9606.ensp00000261187,59
9606.ensp00000441065,60
9606.ensp00000370571,61
9606.ensp00000448059,62
9606.ensp00000303211,63
9606.ensp00000264381,64
9606.ensp00000407546,65
9606.ensp00000361471,66
9606.ensp00000376776,67
9606.ensp00000355601,68
9606.ensp00000264162,69
9606.ensp00000420194,70
9606.ensp00000358301,71
9606.ensp00000305372,72
9606.ensp00000333019,73
9606.ensp00000381057,74
9606.ensp00000261267,75
9606.ensp00000349446,76
9606.ensp00000264220,77
9606.ensp00000307900,78
9606.ensp00000362608,79
9606.ensp00000304229,80
9606.ensp00000286621,81
9606.ensp00000384763,82
9606.ensp00000459962,83
9606.ensp00000385523,84
9606.ensp00000447149,85
9606.ensp00000310928,86
9606.ensp00000287820,87
9606.ensp00000419692,88
9606.ensp00000325312,89
9606.ensp00000280612,90
9606.ensp00000428994,91
9606.ensp00000296526,92
9606.ensp00000481554,93
9606.ensp00000216951,94
9606.ensp00000311469,95
9606.ensp00000358851,96
9606.ensp00000381607,97
9606.ensp00000407375,98
9606.ensp00000362463,99
9606.ensp00000295256,100
9606.ensp00000420168,101
9606.ensp00000335620,102
9606.ensp00000285930,103
9606.ensp00000361405,104
9606.ensp00000337915,105
9606.ensp00000408695,106
9606.ensp00000264428,107
9606.ensp00000274093,108
9606.ensp00000411593,109
9606.ensp00000243389,110
9606.ensp00000302111,111
9606.ensp00000199936,112
9606.ensp00000296412,113
9606.ensp00000358421,114
9606.ensp00000370254,115
9606.ensp00000316786,116
9606.ensp00000466799,117
9606.ensp00000369822,118
9606.ensp00000263321,119
9606.ensp00000355995,120
9606.ensp00000396308,121
9606.ensp00000306606,122
9606.ensp00000311095,123
9606.ensp00000445175,124
9606.ensp00000426083,125
9606.ensp00000354687,126
9606.ensp00000229239,127
9606.ensp00000287936,128
9606.ensp00000369927,129
9606.ensp00000263368,130
9606.ensp00000370129,131
9606.ensp00000321584,132
9606.ensp00000216117,133
9606.ensp00000345096,134
9606.ensp00000356438,135
9606.ensp00000354612,136
9606.ensp00000255858,137
9606.ensp00000363512,138
9606.ensp00000478755,139
9606.ensp00000215812,140
9606.ensp00000305355,141
9606.ensp00000336528,142
9606.ensp00000447173,143
9606.ensp00000378426,144
9606.ensp00000234071,145
9606.ensp00000319788,146
9606.ensp00000361423,147
9606.ensp00000303960,148
9606.ensp00000373700,149
9606.ensp00000451828,150
9606.ensp00000281456,151
9606.ensp00000263817,152
9606.ensp00000478255,153
9606.ensp00000359478,154
9606.ensp00000205557,155
9606.ensp00000366084,156
9606.ensp00000382342,157
